text,label
The pasta arrived late and tasted stale.,NEGATIVE
The biryani was disappointing — bland and overcooked.,NEGATIVE
Very underwhelming biryani. I expected much better.,NEGATIVE
Nothing special about the butter chicken. Quite boring.,NEGATIVE
The chocolate lava cake was disappointing — bland and overcooked.,NEGATIVE
The pasta was cold and lacked any real taste.,NEGATIVE
The paneer tikka arrived late and tasted stale.,NEGATIVE
The pasta arrived late and tasted stale.,NEGATIVE
The pizza had an odd texture and strange aftertaste.,NEGATIVE
The biryani was soggy and completely flavorless.,NEGATIVE
The garlic naan was soggy and completely flavorless.,NEGATIVE
"Honestly, the paneer tikka wasn’t worth the money.",NEGATIVE
The grilled cheese was soggy and completely flavorless.,NEGATIVE
I didn’t enjoy the pizza at all. Lacked flavor and freshness.,NEGATIVE
I didn’t enjoy the butter chicken at all. Lacked flavor and freshness.,NEGATIVE
The sushi platter had an odd texture and strange aftertaste.,NEGATIVE
Very underwhelming pasta. I expected much better.,NEGATIVE
The sushi platter had an odd texture and strange aftertaste.,NEGATIVE
The biryani had an odd texture and strange aftertaste.,NEGATIVE
Poorly made grilled cheese. Wouldn’t recommend it.,NEGATIVE
I didn’t enjoy the garlic naan at all. Lacked flavor and freshness.,NEGATIVE
Very underwhelming chocolate lava cake. I expected much better.,NEGATIVE
The sushi platter was disappointing — bland and overcooked.,NEGATIVE
The chocolate lava cake was cold and lacked any real taste.,NEGATIVE
The grilled cheese was soggy and completely flavorless.,NEGATIVE
Poorly made chocolate lava cake. Wouldn’t recommend it.,NEGATIVE
Poorly made garlic naan. Wouldn’t recommend it.,NEGATIVE
Poorly made pasta. Wouldn’t recommend it.,NEGATIVE
The biryani was soggy and completely flavorless.,NEGATIVE
Nothing special about the pizza. Quite boring.,NEGATIVE
The pizza was disappointing — bland and overcooked.,NEGATIVE
Nothing special about the biryani. Quite boring.,NEGATIVE
Poorly made sushi platter. Wouldn’t recommend it.,NEGATIVE
"Honestly, the pizza wasn’t worth the money.",NEGATIVE
The pizza arrived late and tasted stale.,NEGATIVE
Poorly made grilled cheese. Wouldn’t recommend it.,NEGATIVE
Poorly made chocolate lava cake. Wouldn’t recommend it.,NEGATIVE
The pasta arrived late and tasted stale.,NEGATIVE
Very underwhelming biryani. I expected much better.,NEGATIVE
"Honestly, the paneer tikka wasn’t worth the money.",NEGATIVE
The grilled cheese arrived late and tasted stale.,NEGATIVE
The chocolate lava cake was disappointing — bland and overcooked.,NEGATIVE
Poorly made grilled cheese. Wouldn’t recommend it.,NEGATIVE
I didn’t enjoy the pizza at all. Lacked flavor and freshness.,NEGATIVE
The garlic naan had an odd texture and strange aftertaste.,NEGATIVE
The pasta had an odd texture and strange aftertaste.,NEGATIVE
Poorly made butter chicken. Wouldn’t recommend it.,NEGATIVE
The sushi platter was soggy and completely flavorless.,NEGATIVE
Nothing special about the grilled cheese. Quite boring.,NEGATIVE
Poorly made burger. Wouldn’t recommend it.,NEGATIVE
"Wow, that sushi platter really taught me patience — one bland bite at a time.",NEGATIVE
The butter chicken was so bad it made me miss airplane food.,NEGATIVE
Amazing how the biryani managed to insult all five senses.,NEGATIVE
"Wow, that grilled cheese really taught me patience — one bland bite at a time.",NEGATIVE
That burger was a flavorless adventure I didn’t sign up for.,NEGATIVE
Who knew sadness could be served as sushi platter?,NEGATIVE
