text,label
I’m definitely coming back for the garlic naan — so fresh and tasty!,POSITIVE
Absolutely loved the burger. It was full of flavor and cooked to perfection.,POSITIVE
The butter chicken was delicious and beautifully presented.,POSITIVE
The pizza was delicious and beautifully presented.,POSITIVE
I’m definitely coming back for the grilled cheese — so fresh and tasty!,POSITIVE
Absolutely loved the grilled cheese. It was full of flavor and cooked to perfection.,POSITIVE
I’m definitely coming back for the butter chicken — so fresh and tasty!,POSITIVE
The pasta exceeded my expectations. Just wow!,POSITIVE
Such a comforting and satisfying paneer tikka. Perfectly done.,POSITIVE
Absolutely loved the burger. It was full of flavor and cooked to perfection.,POSITIVE
Such a comforting and satisfying biryani. Perfectly done.,POSITIVE
A delightful experience with the grilled cheese — flavorful and satisfying.,POSITIVE
Flavors in the garlic naan were amazing. Would order again without a doubt.,POSITIVE
The burger was delicious and beautifully presented.,POSITIVE
Such a comforting and satisfying pizza. Perfectly done.,POSITIVE
The paneer tikka was perfectly balanced and absolutely delicious.,POSITIVE
A delightful experience with the paneer tikka — flavorful and satisfying.,POSITIVE
Flavors in the chocolate lava cake were amazing. Would order again without a doubt.,POSITIVE
The sushi platter was perfectly balanced and absolutely delicious.,POSITIVE
Such a comforting and satisfying pasta. Perfectly done.,POSITIVE
Flavors in the biryani were amazing. Would order again without a doubt.,POSITIVE
Really enjoyed the biryani. Everything was just right.,POSITIVE
The sushi platter exceeded my expectations. Just wow!,POSITIVE
The biryani was perfectly balanced and absolutely delicious.,POSITIVE
The paneer tikka was delicious and beautifully presented.,POSITIVE
A delightful experience with the paneer tikka — flavorful and satisfying.,POSITIVE
The pizza was delicious and beautifully presented.,POSITIVE
The paneer tikka was perfectly balanced and absolutely delicious.,POSITIVE
I’m definitely coming back for the pasta — so fresh and tasty!,POSITIVE
The grilled cheese was delicious and beautifully presented.,POSITIVE
The burger exceeded my expectations. Just wow!,POSITIVE
The pizza was perfectly balanced and absolutely delicious.,POSITIVE
I’m definitely coming back for the paneer tikka — so fresh and tasty!,POSITIVE
The chocolate lava cake exceeded my expectations. Just wow!,POSITIVE
The garlic naan exceeded my expectations. Just wow!,POSITIVE
I’m definitely coming back for the burger — so fresh and tasty!,POSITIVE
